"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"2340077 - FS - 18 bags for home healthcare-KASCH nurses and team to carry the necessary items and ma ...","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lDhTAlaBaA28XBOB2wpdJg==","2025-11-13","2025-11-16","health"
"MK- منافسة توريد بنود طبية- 2336542- supply of elevator spare parts for women health hospital/ توريد ...","2025-11-04","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=LocygYE8ec1y5KtK9k7l%20A==","2025-11-08","2025-11-10","health"
"2331503 - AN - SPARE PARTS FOR WOMEN HEALTH HOSPITAL","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=djBxVzU6*@@**u1qvuXq2J37KA==","2025-10-28","2025-10-30","health"
"MH توريد مواد او قطع غيار او ادوات خاصة بالصيانة . SPARE PARTS OF ELECTROCARDIOGRAPHS, قطع غيار تخطي ...","2025-10-19","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=%20NZuHlqN14ltTXhDze79mQ==","2025-10-20","2025-10-24","health"
"MH توريد مواد او قطع غيار او ادوات خاصة بالصيانة spare parts for Women health hospital","2025-10-07","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Ef%20EbQOawNPrCPhak8DAnw==","2025-10-08","2025-10-13","health"
"AO - 2295804 - 18 bags for home healthcare-KASCH nurses and team to carry the necessary items and ma ...","2025-09-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=YYhMvc8dfzUa01xsNAgECQ==","2025-09-19","2025-09-21","health"
"J-RT-REQUIRED SPARE PART, USED FOR SCALES, DIAPERS (HEALTH O METER INC), MODEL: 3400KL, S/N: 3400002 ...","2025-09-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=pcIiuVInwMcY91bGxtXONA==","2025-10-29","2025-10-29","health"
"MH توريد مواد او قطع غيار او ادوات خاصة بالصيانةv SPARE PARTS OF FORCED-AIR PATIENT WARMING UNIT, M ...","2025-08-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=taxSDPXXiB%20t8ky3UC8Lbw==","2025-09-07","2025-09-08","health"
"MH توريد مواد او قطع غيار او ادوات خاصة بالصيانة . WOMEN HEALTH HOSPITAL","2025-08-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=f5stYySsJLzygUrazSN3DA==","2025-08-25","2025-08-27","health"
"المساعدة الفنية لتنفيذ AR-DRG في سوق التأمين الصحي الخاص السعودي","2025-08-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=WSUkU*@@**HpMTyzDELZvoIOLA==","2025-08-28","2025-09-24","health"
