"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays"
"توريد جهاز كمبيوتر لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8IC*@@**peFKjWlhbUci3lTHcw==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7
"توريد مستلزمات حفلات وضيافة لمركز التموين البحري بالاسطولا لشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=e26Y9QxOV4T60YsJdVWciw==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7
"توريد قطع غيار لسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vfT33w7gVn7HaVMSFl5fxQ==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7
"توريد قطع غيار لسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=WCxx3FkVWwCc4bEtoB0IVw==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7
"توريد بدل مقاومه للحريق والكهرباء لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=bDHr5wzW4ObHXE7IOH8q9w==","2025-12-26","2025-12-31","09:59",3,-2,"اسطول","fleet",7
"توريد قطع غيار لسفن جلاله الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7OQYzO6Vdnub5Kc6em8HwQ==","2025-12-27","2025-12-29","09:59",1,-1,"اسطول","fleet",7
"توريد حبيبات السفع الرملي لسفن جلاله الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=NteV3odwbVwN8LzaPfsMBA==","2025-12-27","2025-12-29","09:59",1,-1,"اسطول","fleet",7
"توريد مستلزمات تدريب اطقم السفن لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=C8bl8aGDaqV5Qg6SO%203Egw==","2025-12-24","2025-12-29","09:59",1,-4,"اسطول","fleet",7
"توريد قطع غيار للسفن جلالة الملك لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=XeO%20*@@**ity46x*@@**C30ixM0vNg==","2025-12-22","2025-12-27","09:59",-1,-6,"اسطول","fleet",7
"توريد قطع غيار سفن جلالة الملك (مركز التموين البحري بالاسطول الشرقي )","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VaYNK6UpBNUyjVXJXr70ew==","2025-12-21","2025-12-23","09:59",-5,-7,"اسطول","fleet",7
"استئجار سيارة تورس لمركز التموين البحري بالاسطول الشرقي","القوات البحرية","مركز التموين البحري بالاسطول الشرقي","200","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=mtOtQxvm579PploHQ1qq*@@**w==","2025-12-16","2025-12-19","09:59",-9,-12,"اسطول","fleet",5
