"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"اصلاح ارضيات وطلائعا بمادة مقوامة للأعمال الثقيلة / اصلاح وترميم جدار خارجي مع الطلاء","2025-11-12","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=byTRhG4SotKNElnwYCu8Dg==","2025-11-19","2025-11-23","اصلاح"
"اصلاح وصيانة ودهان حواجز حديدية تابعة لإدارة مرور منطقة حائل","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=R1fd7P7e%20j5zKV1z8%20Bo7w==","2025-11-15","2025-11-17","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 87804","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Otu%204dMzuATGR92CmVyHZg==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 87809","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=TziR5PDbr3LyGICt3qFZig==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 84568","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=AJOvdeoeFIZM5UA3rYncuA==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 97873","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Aa6tOlvxqZbGMVZ0SQ6ukQ==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 95878","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=IYJUCyTknI49ssYFB28k7Q==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 102963","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=czN6T5PRQBgQkDfdeszYRQ==","2025-11-14","2025-11-16","اصلاح"
"منافسة تامين وتوريد قهوة ومستلزماتها لزوم لجنة اصلاح ذات البين لشهر جمادى الاخر ولشهر رجب من عام 144 ...","2025-11-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=SFGWXdxVTPJ*@@**elpYYaw62g==","2025-11-11","2025-11-13","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-11-09","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=QqQIy1Tv4eYlW3CNZsfwow==","2025-11-18","2025-11-20","اصلاح"
"جدول كميات تأمين قطع غيار واصلاح لعدد من السيارات بشعبة الصيانة (الباحة)BH256200012","2025-11-07","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=xSUmL2oWyFt1f6C4I%20TlTg==","2025-11-14","2025-11-16","اصلاح"
"اصلاح واستبدال قطع غيار بئر قيادة حرس الحدود بمنطقة الحدود الشمالية","2025-11-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=%20FvkhTWSFjU0uBJ0ALrzRg==","2025-11-07","2025-11-09","اصلاح"
"أعمال الصيانة واصلاحات لزوم مبنى محافظة الدوادمي","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=SLfy36KWw7VeAD8hLk5nSA==","2025-11-09","2025-11-11","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=NGcwbMhKW1Zo73384*@@**kU2Q==","2025-11-09","2025-11-11","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=*@@**NBHKo6*@@**sk6hUhc7CYuDMA==","2025-11-14","2025-11-16","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=rWNK%20BdMPnX5O5zCpA1W9w==","2025-11-09","2025-11-11","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكة المكرمة","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=H2CvtejdnNHqxclp9*@@**cYgA==","2025-11-09","2025-11-11","اصلاح"
"تأمين قطع غيار واصلاح اليات الدفاع المدني بمنطقة مكةالمكرمة","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8bWb9OG08HRotKe3I1xzUA==","2025-11-14","2025-11-16","اصلاح"
"اصلاح وصيانة لخزانات مياه بعض مراكز الدفاع المدني بمحافظة جدة","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=PQEfmx2FxfVxXZhcEsOUYw==","2025-11-09","2025-11-11","اصلاح"
"اصلاح وتأمين قطع غيار لمركبة من نوع هايلوكس تويوتا موديل 2009 والتابعة لمكافحة المخدرات بمدينة أبها","2025-11-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=OUCAI8Bjr*@@**bjHw3OxuITOA==","2025-11-15","2025-11-15","اصلاح"
"تامين واصلاح قطع غيار اليات الدفاع المدني بمحافظة رابغ","2025-11-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=xi5%20lo57Y7se8mYrh*@@**qRbQ==","2025-11-13","2025-11-19","اصلاح"
"تأمين واصلاح قطع غيار قوارب مطاطية لادارة الدفاع المدني بمحافظة رابغ","2025-11-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kgm*@@**rNtwd0qB0B7CrgdAwA==","2025-11-13","2025-11-19","اصلاح"
"تأمين قطع غيار واصلاح الاليات الخاصة بإدارة الدفاع المدني بمحافظة الخبر DM 25 62 0178","2025-11-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7irCRYSbh8C7ZMMM*@@**yrrQQ==","2025-11-05","2025-11-07","اصلاح"
"تأمين قطع غيار واصلاح الاليات بادارة الدفاع المدني بمحافظة الخفجي","2025-11-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=HLqLYDKupPIl27YFWXEzDg==","2025-11-03","2025-11-05","اصلاح"
"توريد وتركيب قطع غيار واصلاح اليات الدفاع المدني بمنطقة الجوف ( JF 25 62 0047 )","2025-11-02","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ai1E72uwcahTnpSvAc3Lhg==","2025-11-03","2025-11-05","اصلاح"
