"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays"
"مشروع سفلتة وأرصفة وانارة في مدينة القيصومة","بلدية القيصومة","أمانة محافظة حفرالباطن  -  بلدية القيصومة","6000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=hYftmRnk173e8Lkj42WxFg==","2025-12-23","2026-01-03","09:59",16,5,"انارة","lighting",17
"اعمال صيانة الشوارع والارصفة والانارة بحوطة سدير والمراكز التابعه لها","أمانة منطقة الرياض","بلدية حوطة سدير","1000","2025-12-16","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VTtlT2MCCZI14GmudrritQ==","2025-12-26","2026-01-07","09:59",20,8,"انارة","lighting",23
"مشروع صيانة البنية التحتية لأعمال الانارة لطرق النقل المستلمة من وزارة النقل ـ طريق الملك سعود (القش ...","أمانة المنطقة الشرقية","إدارة المشتريات للمنافسات العامة لأمانة المنطقة الشرقية","1500","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=7YFuFQ70LICKW01dAGEYYw==","2025-12-18","2025-12-24","09:59",6,0,"انارة","lighting",17
"مشروع صيانة البنية التحتية لأعمال الانارة لطرق النقل المستلمة من وزارة النقل ـ طريق الملك سعود (القش ...","أمانة المنطقة الشرقية","إدارة المشتريات للمنافسات العامة لأمانة المنطقة الشرقية","1500","2025-12-04","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=xSB4Sb%20AteWvgKYIGkKAIA==","2025-12-14","2025-12-21","09:59",3,-4,"انارة","lighting",18
"صيانة وتوريد اعمدة انارة وقواعد","أمانة منطقة الرياض","بلدية محافظة مرات","1000","2025-11-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Gukk%20wPoJcvLx*@@**C7kPuIcg==","2025-12-10","2025-12-17","09:59",-1,-8,"انارة","lighting",18
"توريد انارة لمنظومة انتاج الجبيل 60019082 الساحل الشرقي","الهيئة السعودية للمياه","شعبة مشتريات الساحل الشرقي","500","2025-11-30","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=JwZEZF*@@**1X61jREaPgHqzIQ==","2025-12-10","2025-12-26","09:59",8,-8,"انارة","lighting",27
"مشروع إنارة الأحياء والشوارع الرئيسية بمحافظة طريف (المرحلة الأولى)","أمانة منطقة الحدود الشمالية","بلدية طريف بأمانة منطقة الحدود الشمالية","1000","2025-11-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KYt3gGwRE0*@@**wuIGWn5rqJA==","2025-12-11","2025-12-14","09:59",-4,-7,"انارة","lighting",18
"مشروع إنارة الأحياء والشوارع الرئيسية بمحافظة طريف (المرحلة الثانية)","أمانة منطقة الحدود الشمالية","بلدية طريف بأمانة منطقة الحدود الشمالية","1000","2025-11-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=frx8kLeLp8lRnfY8tecnBQ==","2025-12-11","2025-12-14","09:59",-4,-7,"انارة","lighting",18
"توريد انارة لمنظومة انتاج رأس الخير 60019062 الساحل الشرقي","الهيئة السعودية للمياه","شعبة مشتريات الساحل الشرقي","200","2025-11-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ZVcZcI7Uti%20eKvDf%20FFq1g==","2025-12-05","2025-12-26","09:59",8,-13,"انارة","lighting",32
"تأمين وقود ديزل للأليات الفنية والتجهيزات والمعدات -مولدات الانارة بالاليات - الانارة المقطورة - الم ...","ادارة الشؤون الفنية المركزية بمنطقة الرياض","ادارة الشؤون الفنية المركزية بمنطقة الرياض","200","2025-11-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Xzdqu04WYcS5mCta8d62MA==","2025-11-27","2025-11-30","09:59",-18,-21,"انارة","lighting",6
"بشان توريد وتركيب قواعد أعمدة انارة لزوم الإدارة العامة للأسلحة والذخيرة","وزارة الحرس الوطني","ادارة المشتريات","200","2025-11-24","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=87PFxbJmfDRDeO81jLKYvw==","2025-12-04","2025-12-10","09:59",-8,-14,"انارة","lighting",17
"صيانة انارة طرق واحياء محافظة البكيرية والمراكز التابعة لها","بلدية محافظة البكيرية","بلدية البكيرية","5500","2025-11-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fE66YRY2Npp1Vf8Vr8H7Jw==","2025-11-27","2025-12-03","09:59",-15,-21,"انارة","lighting",17
"توريد قواعد خرسانية ومسامير للأ عمدة الانارة والديكورية","بلدية محافظة املج","بلدية محافظة أملج","550","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=s7*@@**Wl5ae4gTvIM6b2Pna%20A==","2025-11-19","2025-11-21","09:59",-27,-29,"انارة","lighting",17
"توريد مواد كهرباء وانارة لموقع آفاق","قوات الدفاع الجوي","( فرع المنطقة الوسطى)  -  الادارة الهندسية والاشغال","200","2025-11-04","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fXkq3FLDpwRbFu8NX9jkOQ==","2025-11-11","2025-11-13","08:00",-35,-37,"انارة","lighting",10
"صيانة واعادة تاهيل انارة الجسور والميادين والجزر الوسطية غرب عرعر","أمانة منطقة الحدود الشمالية","ادارة المشتريات  -  الامانة","1000","2025-11-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=rBUliF2I9vmqkYyHtP*@@**y%20Q==","2025-11-16","2025-11-20","09:59",-28,-32,"انارة","lighting",18
"صيانة واعادة تاهيل انارة الجسور والميادين والجزر الوسطية شرق عرعر","أمانة منطقة الحدود الشمالية","ادارة المشتريات  -  الامانة","1000","2025-11-03","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BAJIu%20QQFcsWp1Bs6ydD8g==","2025-11-19","2025-11-22","09:59",-26,-29,"انارة","lighting",20
"سفلتة وارصفة وانارة (تأهيل طرق الملك عبد العزيز)","بلدية محافظة ضمد","بلدية محافظة ضمد","2500","2025-10-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=WlfBP1E75a5onXxCfCVn%20A==","2025-11-05","2025-11-11","09:59",-37,-43,"انارة","lighting",17
"تأهيل وحدات انارة ممشى الدراجات وممرات المشاة وتأهيل مناطق العاب الأطفال","الادارة العامة لمشروع الجبيل","إدارة العقود والمشتريات  -  قسم المشتريات","800","2025-10-22","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Bx6p34Lv%20raCjCZiGMYhWA==","2025-11-20","2025-11-23","10:00",-25,-28,"انارة","lighting",33
"استئجار سلة انارة 20 متر","بلدية أبو راكه","بلدية أبو راكة","500","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=pcumaBzqo8ATX%20OHDsJ*@@**2g==","2025-10-31","2025-11-06","09:59",-42,-48,"انارة","lighting",17
