"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword"
"تحسين وتأهيل تقاطعات طريق الأمير محمد بن عبدالعزيز بالأفلاج","أمانة منطقة الرياض","بلدية محافظة الافلاج","2000","2025-11-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4*@@**Yk1AZZa8ckfmfjwd6ijA==","2025-11-24","2025-11-26","09:59",9,7,"تقاطع"
"صيانة الشوارع والتقاطعات الرئيسية والفرعية في عين دار والقرى التابعة لها","بلدية عين دار","بلدية عين دار","1500","2025-10-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=pQNWzyXAvdiDga1Q8de14w==","2025-11-09","2025-11-11","09:59",-6,-8,"تقاطع"
"صيانة الأرصفة الخرسانية بالجزر الجانبية والوسطية تقاطع طريق الملك عبدالعزيز - بقيق","بلدية جوف بني هاجر","بلدية جوف بني هاجر","200","2025-10-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9mAfD7MBJsM%20vSp%20Wyq0ZQ==","2025-10-25","2025-10-27","09:59",-21,-23,"تقاطع"
"صيانة واستبدال قطعيات لبعض شبكات الري بالتقاطعات والطرق الرئيسية والفرعية بمدينة بريدة ( مرحلة رابعة ...","أمانة منطقة القصيم","ادارة المشتريات والمناقصات","1000","2025-10-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FmjqXkDTnKAXbs5IugpzXA==","2025-10-16","2025-10-22","09:59",-26,-32,"تقاطع"
"صيانة وتأهيل ميدان تقاطع طريق الملك سلمان مع طريق الأمير محمد بن سلمان","أمانة منطقة القصيم","ادارة المشتريات والمناقصات","5500","2025-09-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=2K%20heHV%20aXB2vmTyNxWlBw==","2025-09-27","2025-10-18","09:59",-30,-51,"تقاطع"
"صيانة التقاطعات بما يتوافق مع معايير لجنة السلامة","بلدية عقلة الصقور","بلدية عقلة الصقور","1000","2025-09-07","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=CXPsuKs5cSlyasDyDBhgxA==","2025-09-10","2025-09-23","09:59",-55,-68,"تقاطع"
"صيانة دهانات الشوارع والتقاطعات والممرات الحرجة في المحاور الرئيسة والتقاطعات الداخلية بنطاق بلدية غ ...","أمانة محافظة حفر الباطن","أمانة محافظة حفر الباطن","5500","2025-09-01","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=btgz8tmcugLxHmqkcwCKuA==","2025-09-11","2025-10-02","09:59",-46,-67,"تقاطع"
"صيانة دهانات الشوارع والتقاطعات والممرات الحرجة في المحاور الرئيسة والتقاطعات الداخلية بنطاق بلدية ش ...","أمانة محافظة حفر الباطن","أمانة محافظة حفر الباطن","5500","2025-09-01","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=iBBSqmPPRlRxlVggsznQew==","2025-09-11","2025-10-02","09:59",-46,-67,"تقاطع"
"صيانة دهانات الشوارع والتقاطعات والممرات الحرجة في المحاور الرئيسة والتقاطعات الداخلية بنطاق بلدية ج ...","أمانة محافظة حفر الباطن","أمانة محافظة حفر الباطن","5500","2025-09-01","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=uokFyhEL6HfOBcuFIgZofA==","2025-09-11","2025-10-02","09:59",-46,-67,"تقاطع"
"استبدال وتأهيل إنارة جسر طريق التخصصي تقاطع طريق مكة المكرمة","أمانة منطقة الرياض","إدارة المشتريات والعقود بأمانة منطقة الرياض","1000","2025-08-28","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=DgtZwKBU%20pSHp0ADj42SKw==","2025-09-09","2025-09-28","09:59",-50,-69,"تقاطع"
"إعادة تأهيل تقاطع طريق الملك فهد مع طريق الخفجي الدمام","بلدية محافظة الخفجى","بلدية محافظة الخفجي","5500","2025-08-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=G*@@**eqpJE86aB0rh74PELnWQ==","2025-08-31","2025-09-11","09:59",-67,-78,"تقاطع"
