"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays"
"مشروع معالجة الاختناقات المرورية لمواقف أقسام الطالبات بالحرم الغربي","جامعة الإمام عبدالرحمن بن فيصل","الادارة العامة للمشتريات والمناقصات  -  الجامعة","600","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Ib9aYF2VY1pEDyMzM3G0AA==","2026-01-04","2026-01-10","14:00",13,7,"مرورية","traffic-related",24
"مشروع حدائق وساحات وممرات مشاة في مدينة القيصومة","بلدية القيصومة","أمانة محافظة حفرالباطن  -  بلدية القيصومة","6000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Av3ttDwAXe6ebYyBaTl5Nw==","2025-12-29","2026-01-04","10:00",7,1,"مرورية","traffic-related",18
"مشروع معالجة التقاطعات المرورية في مدينة القيصومة","بلدية القيصومة","أمانة محافظة حفرالباطن  -  بلدية القيصومة","6000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=1Y4iVmuugF%20AlE1jgR%20KqA==","2025-12-23","2026-01-04","10:00",7,-5,"مرورية","traffic-related",18
"مشروع استجابة سريعة للمعالجات المرورية بطريق الديعجان","أمانة منطقة حائل","منافسات حايل","1000","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=MGBDcmb8YaNhnrm8CtmNow==","2025-12-27","2026-01-17","09:59",20,-1,"مرورية","traffic-related",32
"خدمات الحراسة الأمنية والمرورية لمستشفى الملك فهد الجامعي بالخبر والمجمعات السكنية وكلية طب الأسنان ...","جامعة الإمام عبدالرحمن بن فيصل","الادارة العامة للمشتريات والمناقصات  -  الجامعة","800","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=L3HrsoyFn2IWhpybwJvZ7Q==","2025-12-27","2026-01-17","09:59",20,-1,"مرورية","traffic-related",32
"خدمات الحراسة الأمنية والمرورية لمستشفى جامعة الإمام عبد الرحمن بن فيصل وملحقاتها بالمدينة الطبية ال ...","جامعة الإمام عبدالرحمن بن فيصل","الادارة العامة للمشتريات والمناقصات  -  الجامعة","800","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fTs9SEX70NidUav1%20vApzw==","2025-12-27","2026-01-17","09:59",20,-1,"مرورية","traffic-related",32
"إدارة حسابات التواصل الاجتماعي للأمانة العامة للجنة الوزارية للسلامة المرورية","الأمانة العامة للجنة الوزارية للسلامة المرورية","الامانة العامة للجنة السلامة المرورية","500","2025-11-27","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=bnFO*@@**JgO5m60DHCkRndOjQ==","2025-12-07","2025-12-13","09:59",-15,-21,"مرورية","traffic-related",17
"تأمين متطلبات مرورية أمنية","رئاسة هيئة الأركان العامة","أدارة المشتريات للقوات المسلحة بوزارة الدفاع / المنافسات","600","2025-11-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=kFCIM5YS4CPYgkgW%2069XTg==","2025-12-15","2025-12-16","09:00",-12,-13,"مرورية","traffic-related",22
"توريد وتركيب لوحات إرشادية ومرورية بمنظومة تحلية مياه البحر في الشقيق","الهيئة السعودية للمياه","منظومة إنتاج الشقيق","200","2025-11-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=2C9EoF4Hxjj7JAI3ZEXCQw==","2025-11-25","2025-11-29","09:59",-29,-33,"مرورية","traffic-related",10
"أعمال تعزيز السلامة المرورية وتحسين المشهد الحضري بمدينتي الخطة والقاعد","أمانة منطقة حائل","بلدية محافظة الخطة","2500","2025-11-19","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vX1CPTsWc8Wi%20mB0lZQNTA==","2025-12-06","2025-12-08","09:59",-20,-22,"مرورية","traffic-related",20
"المتابعة والإشراف على العقود بالإدارة العامة للنظافة","أمانة منطقة عسير","المشتريات والمناقصات بالامانة","1000","2025-11-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=89Gg3Jacu90WA1KMqsnEYg==","2025-11-28","2025-12-04","09:59",-24,-30,"مرورية","traffic-related",17
"رفع كفاءة السلامة المرورية بالمجمعة","أمانة منطقة الرياض","بلدية محافظة المجمعه","1000","2025-11-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=EgEHeT2wZNvrGIgsqTQPXw==","2025-11-27","2025-11-29","09:59",-29,-31,"مرورية","traffic-related",17
"توريد تجهيزات مرورية لأفرع الإدارة الهندسية والاشغال","قوة الصواريخ الاستراتيجية","الإدارة الهندسية والاشغال","700","2025-11-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=BeufrB7CFNDLUHnffCJq3A==","2025-11-23","2025-12-01","09:59",-27,-35,"مرورية","traffic-related",19
"مشروع تأهيل وتطوير ممرات عبور مشاة ذكية لرفع كفاءة السلامة المرورية بمدينة سكاكا","أمانة منطقة الجوف","إدارة المناقصات والمشتريات بأمانة الجوف","1000","2025-11-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=GBxhEVWJ4l2pKagTmZqZbA==","2025-11-20","2025-11-26","09:59",-32,-38,"مرورية","traffic-related",17
"توريد وتركيب حواجز معدنية للمصارف بالطرق الزراعية لعدد من المواقع التابعة للمؤسسة العامة للري بمحافظ ...","المؤسسة العامة للري","فرع الأحساء","1500","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=aY*@@**fzIXXSZ*@@**HntOg5z9kXA==","2025-11-15","2025-11-21","09:59",-37,-43,"مرورية","traffic-related",17
"تنفيذ وإطلاق حملة إعلامية توعوية","الأمانة العامة للجنة الوزارية للسلامة المرورية","الامانة العامة للجنة السلامة المرورية","500","2025-10-26","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=XTbnZfoBLRU*@@**ehRxFoa4cQ==","2025-11-05","2025-11-11","09:59",-47,-53,"مرورية","traffic-related",17
"مشروع توريد وتنفيذ دهانات مرورية بمحافظة البدائع","بلدية محافظة البدائع","بلدية البدائع","900","2025-10-21","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FxhYFEiKeiIRDEzBgqeYog==","2025-10-24","2025-11-09","09:59",-49,-65,"مرورية","traffic-related",20
