"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays"
"فيديوهات توعوية قصيرة","الهيئة السعودية للمواصفات والمقاييس والجودة","إدارة المنافسات والعقود","1500","2025-11-20","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=E9r7FaXZVrW6YCfky%20ImhA==","2025-11-25","2025-12-09","09:59",19,5,"منصة","platform",20
"مشروع تجديد رخص سيرفس ناو لمنصة خدماتي الداخلية","وزارة الموارد البشرية والتنمية الاجتماعية","إدارة المشتريات","600","2025-11-19","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=TeAYIwyET6a3TR%203a3vHIg==","2025-12-09","2025-12-20","09:59",30,19,"منصة","platform",32
"التشغيل والصيانة لنظام الاتصالات الإدارية","وزارة الموارد البشرية والتنمية الاجتماعية","إدارة المشتريات","600","2025-11-19","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=IeTDWETqc2PM5NwT1*@@**0qvw==","2025-11-29","2025-12-05","09:59",15,9,"منصة","platform",17
"تشغيل ودعم فني للمنصة الرقمية لاستثمار المواد الاعلامية","هيئة الإذاعة والتلفزيون","الادارة المالية -  المشتريات","1000","2025-11-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=zRFP9U7WwtvrpyjmJ8fPbw==","2025-11-28","2025-12-21","09:59",31,8,"منصة","platform",34
"حملة إعلامية لتدشين الإرشاد المهني","صندوق تنمية الموارد البشرية","هدف","1000","2025-11-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=cQANPzi1LBSiK5WBBBfnGA==","2025-11-28","2025-12-04","09:59",14,8,"منصة","platform",17
"تنفيذ نظام المنصة التدريبية الإلكتروني E- Learning","التجمع الصحي بمكة المكرمة","المنافسات العامة بالتجمع الصحي","1000","2025-11-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=8VS36kZcx7OZc8rG5PX37g==","2025-11-28","2025-12-04","09:59",14,8,"منصة","platform",17
"منافسة توفير سيرفرات حديثة لمنصة نموذج الرعاية بتجمع نجران الصحي","تجمع نجران الصحي","ادارة العقود والمشتريات","600","2025-11-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=sDSy7DMhp%20fxqSLd*@@**VZ1NA==","2025-11-27","2025-12-03","09:59",13,7,"منصة","platform",17
"تجديد رخص النسخ الاحتياطي وحفظ البيانات لعام 2026","محمية الملك عبدالعزيز","محمية الملك عبدالعزيز","1000","2025-11-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ys55XN*@@**wnDFLebv24FFTvw==","2025-11-27","2025-12-03","09:59",13,7,"منصة","platform",17
"الحصول على رخصة التعاقد مع مزود خدمة لتقديم منصة متكاملة لتقييم المرشحين للوظائف من خلال اختبارات ال ...","جامعة الملك سعود بن عبد العزیز للعلوم الصحیة","ادارة الشراء المباشر بجامعة الملك سعود للعلوم الصحية","200","2025-11-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fHIDI5BC0ScR9XHI4ABrMg==","2025-11-16","2025-11-20","09:59",0,-4,"منصة","platform",8
"تجهيز منصة الحفل بمعهد تدريب السجون (25/26)","المديرية العامة للسجون","الادارة العامة للمنافسات والمشتريات","200","2025-11-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VyoHeSEcPq7GqVmPnVEklw==","2025-11-16","2025-11-19","09:59",-1,-4,"منصة","platform",7
"تطوير المرحلة الأولى من المركز الدبلوماسي الرقمي","وزارة الخارجية","الديوان العام  -  المشتريات","1000","2025-11-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=6xiFOEos89r8b%20W2AQCR1w==","2025-11-23","2025-11-29","09:59",9,3,"منصة","platform",17
"مشروع إنتاج 140 منتج تدريبي إلكتروني","معهد الادارة العامة","إدارة المشتريات","3500","2025-11-12","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qf8RR*@@**aOPtzEEEow2mNFKw==","2025-11-27","2025-12-14","10:20",24,7,"منصة","platform",33
"التشغيل الدوري التقني وحوكمة العمليات","المؤسسة العامة لتحلية المياه المالحة","ادارة الشراء  -  قسم مشتريات الخدمات والمشاريع","1000","2025-11-12","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FuVWz3F6MD*@@**rrhUfe94YGQ==","2025-11-22","2025-11-30","10:00",10,2,"منصة","platform",19
"تقديم خدمات احترافية لصيانة وتشغيل وتطوير منصة إثرائي","معهد الادارة العامة","إدارة المشتريات","3500","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=YWziURyK0r8SBVFXp*@@**hXCg==","2025-11-21","2025-12-15","10:20",25,1,"منصة","platform",35
"تسديد رسوم حساب مجلس الضمان الصحي في منصة أكس","مجلس الضمان الصحي","إدارة العقود والمشتريات","200","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=88rVdUQtB%20oOia96uoNpqg==","2025-11-12","2025-11-16","11:00",-4,-8,"منصة","platform",6
"الاشتراك في منصة SciVal لدعم الأداء البحثي والتصنيفات العالمية","جامعة الامام محمد بن سعود","الادارة العامة للمشتريات والمنافسات","1000","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Rye71IyPI0UT*@@**gu%20RDQcgg==","2025-11-21","2025-11-30","09:59",10,1,"منصة","platform",20
"الاشتراك في منصة لقواعد المعلومات البحثية باللغة الأجنبية المتخصصة","هيئة تقويم التعليم","الادارة العامة للمشتريات والعقود","1000","2025-11-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fUD0EXPjgitf0oKb60n*@@**NQ==","2025-11-15","2025-11-26","09:59",6,-5,"منصة","platform",17
"تشغيل المؤتمر الصحفي الحكومي لعام 2025 المرحلة الثانية","وزارة الإعلام","الديوان العام  -  ادارة المشتريات","1000","2025-11-06","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vdvQd*@@**zhat3vm%20ky*@@**criUw==","2025-11-16","2025-11-22","09:59",2,-4,"منصة","platform",17
"تشغيل ودعم المنصة الإلكترونية الحالية لمركز التدريب العدلي","وزارة العدل","الديوان العام  -  إدارة المشتريات والعقود","1000","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=CdvqUTIqUoK8UV0JLj2Xaw==","2025-11-22","2025-12-06","09:59",16,2,"منصة","platform",32
"الحملة الوطنية للعنوان الوطني","مؤسسة البريد السعودي","الإدارة العامة لسلاسل الامداد","1000","2025-11-05","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=biiq5T75SFpnlVKnAeLgYQ==","2025-11-15","2025-11-21","09:59",1,-5,"منصة","platform",17
