"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays","tenderType","coreActivities"
"md 2350483 جهاز جري -- المحرك: 5 حصان (مهام جهاز الجري) - السرعة: 0.8 ~ 25 كم/ساعة - الميل: 0 ~ 16% ...","الشؤون الصحیة بوزارة الحرس الوطني","إدارة المشتريات  -  مدينة الملك عبدالعزيز الطبية بالرياض","200","2025-12-24","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=r78XBK2YuJDyAvEGgioXFw==","2025-12-26","2025-12-28","09:59",0,-2,"ذكي","smart",5,"شراء مباشر","تجارة قطع الغيار الجديدة"
"توريد وتركيب عدادات كهرباء ذكية للوحدات السكنية بإسكان حرس الحدود بقطاع جديدة عرعر بمنطقة الحدود الش ...","حرس الحدود","ادارة المشتريات والعقود","800","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=EKNC4nvpwN1WNB5S84blPA==","2025-12-28","2026-01-07","08:00",10,0,"ذكي","smart",22,"منافسة عامة","صُنع المعدات الكهربائية"
"توفير القدرات الحاسوبية فائقة الأداء للذكاء الاصطناعي-المرحلة الأولى","الهيئة السعودية للبيانات والذكاء الاصطناعي","الهيئة السعودية للبيانات والذكاء الاصطناعي","1000","2025-12-16","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=tOCV9IuCqbqiDsVMBodq9g==","","","","","","الذكاء","intelligence","","منافسة عامة","تقنية المعلومات"
"توريد وتركيب وتشغيل عدد 2 أجهزة ذكية مشفرة","حرس الحدود","التقنية والذكاء الاصطناعي  -  المديرية العامة لحرس الحدود - التقنية والذكاء الاصطناعي","200","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qlszS3ZHDo*@@**DvcuwKq%20mPw==","2025-12-19","2025-12-26","09:59",-2,-9,"ذكي","smart",12,"شراء مباشر","الإتصالات"
"تأمين أجهزة ذكية لديوان رئاسة أمن الدولة بمدينة الرياض","الديوان العام لرئاسة أمن الدولة","المنافسات","500","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=*@@**scIzBNPvFtibs%203GSHS7w==","2025-12-28","2025-12-31","11:00",3,0,"ذكي","smart",17,"منافسة عامة","تجارة الأدوات والآلات والأجهزة"
"توريد وتركيب نظام التحكم بالدخول لأكاديمية مهد الرياضية","أكاديمية مهد الرياضية","أكاديمية مهد الرياضية  -  الرياض","200","2025-12-14","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=3nsP06Vd9eFPFcp1rgsPaw==","2025-12-16","2025-12-18","09:59",-10,-12,"ذكي","smart",5,"شراء مباشر","مقاولات الإنشاءات العامة (التشييد و بناء المرافق العامة)- إنشاءات عامة"
"إدارة مشتريات الدمام – توريد سجادة أرضية لمنع السقوط والتجول مزودة بشاشة وجهاز اتصال - إنذار ذكي بمس ...","الشؤون الصحیة بوزارة الحرس الوطني","إدارة المشتريات  -  مستشفى الامام عبدالرحمن بن فيصل بالدمام","200","2025-12-13","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=YstFNuaBC7%20DuSmvQSaJAQ==","2025-12-16","2025-12-18","09:59",-10,-12,"ذكي","smart",6,"شراء مباشر","الأنشطة الطبية"
"مشروع تقديم خدمات الرقابة والحماية باستخدام التقنيات الحديثة في منطقة القصيم – المرحلة الأولى","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Thd0QqcI21Vi%20PS4dw5FEA==","2025-12-25","2026-01-08","10:00",11,-3,"الذكاء","intelligence",32,"منافسة عامة","تقنية المعلومات"
"مشروع تقديم خدمات الرقابة والحماية باستخدام التقنيات الحديثة في منطقة الباحة – المرحلة الأولى","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4A1b9gUyWUL7vwME4wa5Uw==","2025-12-25","2026-01-08","10:00",11,-3,"الذكاء","intelligence",32,"منافسة عامة","تقنية المعلومات"
"توريد وتركيب آلات إعادة التدوير الذكية للاستدامة البيئية","صندوق تنمية الموارد البشرية","هدف","1000","2025-12-07","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=0BHFx92BpzhH2%20MUvtkS6g==","2025-12-17","2025-12-23","09:59",-5,-11,"ذكي","smart",17,"منافسة إتفاقية إطارية","التشغيل والصيانة والنظافة للمنشآت - التشغيل والصيانة"
