"title","orgName","subDeptName","bidValue","publishDate","detailUrl","inquiryDeadline","bidDeadline","bidDeadlineTime","bidDeadlineDaysLeft","inquiryDeadlineDaysLeft","keyword","keywordEng","tenderOpenDays","tenderType","coreActivities"
"توريد وتركيب عدادات كهرباء ذكية للوحدات السكنية بإسكان حرس الحدود بقطاع جديدة عرعر بمنطقة الحدود الش ...","حرس الحدود","ادارة المشتريات والعقود","800","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=EKNC4nvpwN1WNB5S84blPA==","2025-12-28","2026-01-07","08:00",10,0,"ذكي","smart",22,"منافسة عامة","صُنع المعدات الكهربائية"
"تأمين أجهزة ذكية لديوان رئاسة أمن الدولة بمدينة الرياض","الديوان العام لرئاسة أمن الدولة","المنافسات","500","2025-12-15","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=*@@**scIzBNPvFtibs%203GSHS7w==","2025-12-28","2025-12-31","11:00",3,0,"ذكي","smart",17,"منافسة عامة","تجارة الأدوات والآلات والأجهزة"
"مشروع تقديم خدمات الرقابة والحماية باستخدام التقنيات الحديثة في منطقة القصيم – المرحلة الأولى","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Thd0QqcI21Vi%20PS4dw5FEA==","2025-12-25","2026-01-08","10:00",11,-3,"الذكاء","intelligence",32,"منافسة عامة","تقنية المعلومات"
"مشروع تقديم خدمات الرقابة والحماية باستخدام التقنيات الحديثة في منطقة الباحة – المرحلة الأولى","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر","1000","2025-12-08","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4A1b9gUyWUL7vwME4wa5Uw==","2025-12-25","2026-01-08","10:00",11,-3,"الذكاء","intelligence",32,"منافسة عامة","تقنية المعلومات"
"توريد وتركيب مركز الأبحاث الذكية للأنظمة الذكية و السيبرانية بجامعة بيشة","جامعة بيشة","أدارة العقود والمشتريات","800","2025-11-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9%20I4S7%20LskRPYhSXBImA2A==","2026-01-03","2026-01-04","07:40",7,6,"ذكي","smart",49,"منافسة عامة","الإتصالات"
"مشروع الاتفاقية الإطارية لخدمة تقييم المركبات","وزارة الموارد البشرية والتنمية الاجتماعية","إدارة المشتريات","1000","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=wzRxbl*@@**AOodzY9iGahsQ9A==","2026-01-14","2026-01-25","09:59",28,17,"الذكاء","intelligence",32,"منافسة إتفاقية إطارية","خدمات عامة (تعقيب المعاملات)"
"صيانة دورية لأنظمة كاميرات المراقبة الرقمية والذكاء الصناعي","المديرية العامة للأحوال المدنية","ادارة المشتريات","1000","2025-12-25","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=JzsLGAjpN1f9R%20YpZy9v*@@**w==","2026-01-06","2026-01-10","09:59",13,9,"الذكاء","intelligence",17,"منافسة عامة","تقنية المعلومات"
"توريد معمل أبحاث تطبيقات الذكاء الاصطناعي المتقدم","جامعة الامام محمد بن سعود","الادارة العامة للمشتريات والمنافسات","1000","2025-12-23","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lp*@@**TC66p2ZNhjUOJxb2Alg==","2026-01-02","2026-01-13","09:59",16,5,"تقاطع","intersection",22,"منافسة عامة","تجارة الأدوات والآلات والأجهزة"
"تطوير نظام الكشف المبكر عن سرب قناديل البحر","الهيئة السعودية للمياه","ادارة الشراء  -  قسم مشتريات الخدمات والمشاريع","1000","2025-12-18","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=LT%20FoOFTZt5XE6JH5*@@**G5Kg==","2025-12-28","2026-01-04","10:00",7,0,"الذكاء","intelligence",18,"منافسة عامة","الخدمات البيئية"
"KR1166 توريد كواشف مخبرية للبحث رقم NRJ23J/239/08 لمقارنة التنوع الجينومي للبكتيريا المقاومة للأدوية ...","جامعة الملك سعود بن عبد العزیز للعلوم الصحیة","ادارة الشراء المباشر بجامعة الملك سعود للعلوم الصحية","200","2025-12-17","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=wnGX7cvnERGn5KfW2rYbcQ==","2025-12-27","2026-01-01","09:59",4,-1,"الذكاء","intelligence",16,"شراء مباشر","الأنشطة الطبية"
"تطوير نظام المعاملات الإلكترونية بالذكاء الاصطناعي","القوات البرية","هيئة الاتصالات وتقنية المعلومات للقوات البرية  -  لجنة تأمين الاحتياجات","1500","2025-12-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qrouKlsLaeV1A9h32d249g==","2025-12-21","2026-01-04","09:59",7,-7,"الذكاء","intelligence",25,"منافسة عامة","تقنية المعلومات"
"مؤتمر الذكاء الاصطناعي","الهيئة السعودية للبيانات والذكاء الاصطناعي","الهيئة السعودية للبيانات والذكاء الاصطناعي","900","2025-12-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=x45dhDg46e9JY%20bcoBgu*@@**Q==","2026-01-06","2026-01-10","09:59",13,9,"الذكاء","intelligence",32,"منافسة عامة","أنشطة المعارض والمؤتمرات"
