"title","publishDate","detailUrl","inquiryDeadline","bidDeadline","keyword"
"2340077 - FS - 18 bags for home healthcare-KASCH nurses and team to carry the necessary items and ma ...","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lDhTAlaBaA28XBOB2wpdJg==","2025-11-13","2025-11-16","health"
"اصلاح وصيانة ودهان حواجز حديدية تابعة لإدارة مرور منطقة حائل","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=R1fd7P7e%20j5zKV1z8%20Bo7w==","2025-11-15","2025-11-17","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 87804","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Otu%204dMzuATGR92CmVyHZg==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 87809","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=TziR5PDbr3LyGICt3qFZig==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 84568","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=AJOvdeoeFIZM5UA3rYncuA==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 97873","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Aa6tOlvxqZbGMVZ0SQ6ukQ==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 95878","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=IYJUCyTknI49ssYFB28k7Q==","2025-11-14","2025-11-16","اصلاح"
"اصلاح سيارات قوة أمن المنشآت بالمنطقة الشرقية رقم 102963","2025-11-11","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=czN6T5PRQBgQkDfdeszYRQ==","2025-11-14","2025-11-16","اصلاح"
"مشروع تأهيل وتطوير ممرات عبور مشاة ذكية لرفع كفاءة السلامة المرورية بمدينة سكاكا","2025-11-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=GBxhEVWJ4l2pKagTmZqZbA==","2025-11-20","2025-11-26","مرور"
"تقديم خدمة تنظيف شبكات الصرف الصحي بمستشفى الأمير محمد بن عبدالعزيز ومركز الرعاية الصحية الأولية بال ...","2025-11-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=k*@@**J7TWQKm4fnv2aeTMO1mg==","2025-11-20","2025-12-01","مرور"
"منافسة تامين وتوريد قهوة ومستلزماتها لزوم لجنة اصلاح ذات البين لشهر جمادى الاخر ولشهر رجب من عام 144 ...","2025-11-10","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=SFGWXdxVTPJ*@@**elpYYaw62g==","2025-11-11","2025-11-13","اصلاح"
