"Title (English)","Tender Type (English)","Core Activity (English)","Organization (English)","Organization Sub Department (English)","Tender Doc Purc Value","Published Date","Tender Open Days","Inquiry Deadline","Days Left to Send Inquiries","Bid Deadline Date and Time","Days left Until Bid Closing","Keyword (English)","keywords","Detail Url","Tender Type (Arabic)","Core Activity (Arabic)","Title (Arabic)"
"Supply and installation of smart electricity meters for residential units in Border Guard Housing in the New Arar sector in the northern border region...","General competition","Manufacture of electrical equipment","Border guards","Purchasing and contracts management","800","2025-12-17",22,"2025-12-28",0,"2026-01-07 @ 08:00",10,"smart","ذكي","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=EKNC4nvpwN1WNB5S84blPA==","منافسة عامة","صُنع المعدات الكهربائية","توريد وتركيب عدادات كهرباء ذكية للوحدات السكنية بإسكان حرس الحدود بقطاع جديدة عرعر بمنطقة الحدود الش ..."
"Providing smart devices for the Office of the Presidency of State Security in Riyadh","General competition","Trading in tools, machines and devices","General Office of the Presidency of State Security","Competitions","500","2025-12-15",17,"2025-12-28",0,"2025-12-31 @ 11:00",3,"smart","ذكي","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=*@@**scIzBNPvFtibs%203GSHS7w==","منافسة عامة","تجارة الأدوات والآلات والأجهزة","تأمين أجهزة ذكية لديوان رئاسة أمن الدولة بمدينة الرياض"
"A project to provide monitoring and protection services using modern technologies in the Qassim region - the first phase","General competition","Information technology","National Center for Vegetation Development and Combating Desertification","National Center for Vegetation Development and Combating Desertification","1000","2025-12-08",32,"2025-12-25",-3,"2026-01-08 @ 10:00",11,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Thd0QqcI21Vi%20PS4dw5FEA==","منافسة عامة","تقنية المعلومات","مشروع تقديم خدمات الرقابة والحماية باستخدام التقنيات الحديثة في منطقة القصيم – المرحلة الأولى"
"A project to provide monitoring and protection services using modern technologies in the Al-Baha region - the first phase","General competition","Information technology","National Center for Vegetation Development and Combating Desertification","National Center for Vegetation Development and Combating Desertification","1000","2025-12-08",32,"2025-12-25",-3,"2026-01-08 @ 10:00",11,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=4A1b9gUyWUL7vwME4wa5Uw==","منافسة عامة","تقنية المعلومات","مشروع تقديم خدمات الرقابة والحماية باستخدام التقنيات الحديثة في منطقة الباحة – المرحلة الأولى"
"Supply and installation of the Smart Research Center for Smart and Cyber ​​Systems at the University of Bisha","General competition","Communications","Bisha University","Contracts and procurement management","800","2025-11-17",49,"2026-01-03",6,"2026-01-04 @ 07:40",7,"smart","ذكي","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9%20I4S7%20LskRPYhSXBImA2A==","منافسة عامة","الإتصالات","توريد وتركيب مركز الأبحاث الذكية للأنظمة الذكية و السيبرانية بجامعة بيشة"
"Draft framework agreement for vehicle evaluation service","Competition for a framework agreement","General services (transaction tracking)","Ministry of Human Resources and Social Development","Purchasing management","1000","2025-12-25",32,"2026-01-14",17,"2026-01-25 @ 09:59",28,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=wzRxbl*@@**AOodzY9iGahsQ9A==","منافسة إتفاقية إطارية","خدمات عامة (تعقيب المعاملات)","مشروع الاتفاقية الإطارية لخدمة تقييم المركبات"
"Regular maintenance of digital surveillance cameras and artificial intelligence systems","General competition","Information technology","General Directorate of Civil Status","Purchasing management","1000","2025-12-25",17,"2026-01-06",9,"2026-01-10 @ 09:59",13,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=JzsLGAjpN1f9R%20YpZy9v*@@**w==","منافسة عامة","تقنية المعلومات","صيانة دورية لأنظمة كاميرات المراقبة الرقمية والذكاء الصناعي"
"Supply of advanced artificial intelligence applications research laboratory","General competition","Trading in tools, machines and devices","Imam Muhammad bin Saud University","General Administration of Purchases and Competitions","1000","2025-12-23",22,"2026-01-02",5,"2026-01-13 @ 09:59",16,"intersection","تقاطع","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lp*@@**TC66p2ZNhjUOJxb2Alg==","منافسة عامة","تجارة الأدوات والآلات والأجهزة","توريد معمل أبحاث تطبيقات الذكاء الاصطناعي المتقدم"
"Development of an early detection system for jellyfish swarms","General competition","Environmental services","Saudi Water Authority","Purchasing Department - Services and Projects Purchasing Department","1000","2025-12-18",18,"2025-12-28",0,"2026-01-04 @ 10:00",7,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=LT%20FoOFTZt5XE6JH5*@@**G5Kg==","منافسة عامة","الخدمات البيئية","تطوير نظام الكشف المبكر عن سرب قناديل البحر"
"KR1166 Supply of laboratory reagents for research No. NRJ23J/239/08 to compare the genomic diversity of drug-resistant bacteria...","Direct purchase","Medical activities","King Saud bin Abdulaziz University for Health Sciences","Direct Purchasing Department at King Saud University for Health Sciences","200","2025-12-17",16,"2025-12-27",-1,"2026-01-01 @ 09:59",4,"intelligence","الذكاء","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=wnGX7cvnERGn5KfW2rYbcQ==","شراء مباشر","الأنشطة الطبية","KR1166 توريد كواشف مخبرية للبحث رقم NRJ23J/239/08 لمقارنة التنوع الجينومي للبكتيريا المقاومة للأدوية ..."
