"Title (English Translation)","Organization (English Translation)","Organization Sub Department (English Translation)","Tender Value","Published Date","Inquiry Deadline","Days Left to Send Inquiries","Bid Deadline Date and Time","Days left Until Bid Closing","Keyword (English Translation)","Detail Url","Title (Arabic)","keywords"
"Supply and installation of the Smart Research Center for Smart and Cyber ​​Systems at the University of Bisha","Bisha University","Contracts and procurement management","800","2025-11-17","2025-11-27",10,"2025-12-03 @ 09:59",16,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=9%20I4S7%20LskRPYhSXBImA2A==","توريد وتركيب مركز الأبحاث الذكية للأنظمة الذكية و السيبرانية بجامعة بيشة","ذكي"
"Supplying smart phones to the Deanship of Student Affairs at the University of Tabuk","University of Tabuk","Contracts and procurement management","1000","2025-11-16","2025-11-26",9,"2025-12-02 @ 09:59",15,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=FYcN3A2Z2UpYshCAXrOJlw==","توريد اجهزة هاتف ذكية لعمادة شؤون الطلاب في جامعة تبوك","ذكي"
"A solar system project integrated with a DC pump to operate irrigation systems","Saudi Water Authority","Purchasing Department - Services and Projects Purchasing Department","1000","2025-11-13","2025-11-23",6,"2025-11-29 @ 10:00",12,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=hj2U3XyeAuOcJUp4ks%20Ebw==","مشروع نظام شمسي مدمج بمضخة تيار مستمر لتشغيل أنظمة الري","ذكي"
"Preparing a smart framework for developing tools, training solutions, and competencies for the water sector","Saudi Water Authority","Purchasing Department - Services and Projects Purchasing Department","1000","2025-11-13","2025-11-28",11,"2025-12-14 @ 09:59",27,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=VDJ2ra5l%20BxhRBME68c6eQ==","اعداد إطار ذكي لتطوير الأدوات والحلول التدريبية والجدارات لقطاع المياه","ذكي"
"A project to rehabilitate and develop smart pedestrian crossing corridors to raise the efficiency of traffic safety in the city of Sakaka","Al-Jawf Region Municipality","Managing tenders and procurement in Al-Jouf Municipality","1000","2025-11-10","2025-11-20",3,"2025-11-26 @ 09:59",9,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=GBxhEVWJ4l2pKagTmZqZbA==","مشروع تأهيل وتطوير ممرات عبور مشاة ذكية لرفع كفاءة السلامة المرورية بمدينة سكاكا","مرور"
"Supporting appeals courts with smart interconnect devices (SD-WAN)","Ministry of Justice","General Office - Purchasing and Contracts Department","1000","2025-11-06","2025-11-16",-1,"2025-11-22 @ 09:59",5,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=WHJd49XF8a8%20*@@**raQZ9njDw==","دعم محاكم الاستئناف بأجهزة الربط الذكية (SD-WAN)","ذكي"
"Preparing the technical infrastructure for the new building of the General Real Estate Authority","General Authority for Real Estate","Procurement and contracts","5500","2025-11-06","2025-11-16",-1,"2025-12-07 @ 09:59",20,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=vrG62*@@**bJ*@@**G*@@**D5zd7y5KEAA==","تجهيز البنية التقنية للمبنى الجديد للهيئة العامة للعقار","ذكي"
"Attendance and departure program for employees","Saudi Food and Drug Authority","Contracts and procurement management","800","2025-11-06","2025-11-12",-5,"2025-11-23 @ 09:59",6,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=Y7VJWIW3fxACBFhCxFZ1kg==","برنامج الحضور والانصراف للموظفين","ذكي"
"Supporting and developing the Authority’s websites and the Live It 2025 platform","General Entertainment Authority","Purchasing Department - Entertainment Authority","5500","2025-11-03","2025-11-18",1,"2025-12-04 @ 09:59",17,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=lniVUogRvnyFOHXSRoiNeA==","دعم وتطوير مواقع الهيئة ومنصة عيشها 2025","منصة"
"Linking the international police “Interpol” with the security sectors","Ministry of Interior","General Office - Department of Competitions and Contracts","1500","2025-10-27","2025-11-19",2,"2025-12-04 @ 10:00",17,"passage","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=L2q5Mz9twpo7ePDGCV0j2g==","ربط الشرطة الدولية ""الإنتربول"" مع القطاعات الأمنية","مرور"
"Beneficiary service operation and communication efficiency project at the Digital Transformation and Smart Cities Agency","Eastern Province Secretariat","Purchasing management for public competitions for the Eastern Province Secretariat","3500","2025-10-23","2025-11-17",0,"2025-11-23 @ 10:00",6,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ILMqlxaDUgX0KvG7rUnt0g==","مشروع تشغيل خدمة المستفيدين وكفاءة الاتصال بوكالة التحول الرقمي والمدن الذكية","ذكي"
"Operating and maintaining the Intelligent Operations Center (IOC), its affiliated systems, and the smart columns at the Royal Commission","General Administration of Yanbu Project","Yanbu Industrial City - Contracts Administration - Contracts Section","700","2025-10-23","2025-11-13",-4,"2025-11-25 @ 12:30",8,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fJ*@@**c3FZ75b1iN*@@**49iTlRDw==","تشغيل وصيانة مركز العمليات الذكي IOC والأنظمة التابعة لها والاعمدة الذكية في الهيئة الملكية","ذكي"
"Digital innovation project in digital exhibitions","Royal ceremonies","Procurement and tenders","1000","2025-10-15","2025-11-13",-4,"2025-11-19 @ 09:00",2,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=KTARyo1dD5te0wB0D2AMsg==","مشروع الإبتكار الرقمي في المعارض الرقمية","ذكي"
"A project to operate the project office services at the Digital Transformation and Smart Cities Agency","Eastern Province Secretariat","Purchasing management for public competitions for the Eastern Province Secretariat","5500","2025-09-28","2025-11-09",-8,"2025-11-19 @ 20:00",2,"tasty","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=ydZI*@@**nQJeVnqY86lR5k%20KA==","مشروع تشغيل خدمات مكتب المشاريع بوكالة التحول الرقمي والمدن الذكية","ذكي"
"Call center, third stage","Ministry of Foreign Affairs","General Office - Purchases","1000","2025-09-09","2025-11-12",-5,"2025-11-25 @ 13:00",8,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=%20CX2vGHpJZCCB0d2vB96KQ==","مركز الاتصال المرحلة الثالثة","الذكاء"
"Improving and upgrading the institutional systems of the Ministry of Tourism","Ministry of Tourism","General Administration of Purchases and Contracts","1000","2025-11-17","2025-11-25",8,"2025-12-18 @ 09:59",31,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=qe2vsgeeEhKwqHNtzEJEXw==","تحسين وترقية الأنظمة المؤسسية لوزارة السياحة","الذكاء"
"Obtaining a license to contract with a service provider to provide an integrated platform for evaluating job candidates through...","King Saud bin Abdulaziz University for Health Sciences","Direct Purchasing Department at King Saud University for Health Sciences","200","2025-11-13","2025-11-16",-1,"2025-11-20 @ 09:59",3,"platform","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=fHIDI5BC0ScR9XHI4ABrMg==","الحصول على رخصة التعاقد مع مزود خدمة لتقديم منصة متكاملة لتقييم المرشحين للوظائف من خلال اختبارات ال ...","منصة"
"Operating and renewing operators portal licenses 2","Saudi Data and Artificial Intelligence Authority","Saudi Data and Artificial Intelligence Authority","1000","2025-11-11","2025-12-08",21,"2025-12-12 @ 09:59",25,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=45Xd3zecoYwX6U*@@**8pCFcZg==","تشغيل و تجديد رخص بوابة المشغلين 2","الذكاء"
"Project for managing and developing educational hall systems at Princess Noura bint Abdul Rahman University, second phase","Princess Noura bint Abdul Rahman University","Public procurement","1000","2025-11-11","2025-11-21",4,"2025-12-12 @ 09:59",25,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=mGaRPTA3XLitwnRefBmshg==","مشروع ادارة وتطوير انظمة القاعات التعليمية بجامعة الاميرة نورة بنت عبدالرحمن المرحلة الثانية","الذكاء"
"Competition for a project to provide a service for archiving and digitizing the Authority’s documents","Saudi Electricity Regulatory Authority","Purchasing and contracts management","500","2025-11-10","2025-11-20",3,"2025-11-26 @ 09:59",9,"Intelligence","https://tenders.etimad.sa/Tender/DetailsForVisitor?STenderId=DbWZFZPC0AV38EkOwKBCgA==","منافسة مشروع تقديم خدمة أرشفة ورقمنة وثائق الهيئة","الذكاء"
